NS 100
<<<<<<< HEAD
CN0 5412, LN0 102, HN0 3209
CN2 2963, LN2 7535, HN2 923
CN3 5746, LN3 318, HN3 3706
CN4 8529, LN4 3191, HN4 6589

CN0 2356, LN0 7928, HN0 316
CN1 5139, LN1 701, HN1 3199
CN2 8912, LN2 3584, HN2 6972
CN3 1795, LN3 6367, HN3 9755
CN4 4578, LN4 9140, HN4 2538

CN0 2460, LN0 7032, HN0 420
CN1 5243, LN1 815, HN1 3203
CN2 8026, LN2 3698, HN2 6086
CN3 1809, LN3 6471, HN3 9869
CN4 4682, LN4 9254, HN4 2642

CN0 4352, LN0 9924, HN0 2312
CN1 7135, LN1 2707, HN1 5195
CN2 918, LN2 5580, HN2 8978
CN3 3791, LN3 8363, HN3 1751
CN4 6574, LN4 1146, HN4 4534

CN0 6251, LN0 1823, HN0 4211
CN1 9034, LN1 4606, HN1 7094
CN2 2817, LN2 7489, HN2 877
CN3 5690, LN3 262, HN3 3650
CN4 8473, LN4 3045, HN4 6433

CN0 1452, LN0 6024, HN0 9412
CN1 4235, LN1 9807, HN1 2295
CN2 7018, LN2 2680, HN2 5078
CN3 891, LN3 5463, HN3 8851
CN4 3674, LN4 8246, HN4 1634

CN0 7036, LN0 2608, HN0 5096
CN1 819, LN1 5481, HN1 8879
CN2 3692, LN2 8264, HN2 1652
CN3 6475, LN3 1047, HN3 4435
CN4 9258, LN4 4820, HN4 7218

CN0 725, LN0 5397, HN0 8785
CN1 3508, LN1 8170, HN1 1568
CN2 6381, LN2 1953, HN2 4341
CN3 9164, LN3 4736, HN3 7124
CN4 2947, LN4 7519, HN4 907

CN0 462, LN0 5034, HN0 8422
CN1 3245, LN1 8817, HN1 1205
CN2 6028, LN2 1690, HN2 4088
CN3 9801, LN3 4473, HN3 7861
CN4 2684, LN4 7256, HN4 644

CN0 7052, LN0 2624, HN0 5012
CN1 835, LN1 5407, HN1 8895
CN2 3618, LN2 8280, HN2 1678
CN3 6491, LN3 1063, HN3 4451
CN4 9274, LN4 4846, HN4 7234

CN0 4370, LN0 9942, HN0 2330
CN1 7153, LN1 2725, HN1 5113
CN2 936, LN2 5508, HN2 8996
CN3 3719, LN3 8381, HN3 1779
CN4 6592, LN4 1164, HN4 4552

CN0 3452, LN0 8024, HN0 1412
CN1 6235, LN1 1807, HN1 4295
CN2 9018, LN2 4680, HN2 7078
CN3 2891, LN3 7463, HN3 851
CN4 5674, LN4 246, HN4 3634

CN0 7304, LN0 2976, HN0 5364
CN1 187, LN1 5759, HN1 8147
CN2 3960, LN2 8532, HN2 1920
CN3 6743, LN3 1315, HN3 4703
CN4 9526, LN4 4198, HN4 7586

CN0 3425, LN0 8097, HN0 1485
CN1 6208, LN1 1870, HN1 4268
CN2 9081, LN2 4653, HN2 7041
CN3 2864, LN3 7436, HN3 824
CN4 5647, LN4 219, HN4 3607

CN0 7160, LN0 2732, HN0 5120
CN1 943, LN1 5515, HN1 8903
CN2 3726, LN2 8398, HN2 1786
CN3 6509, LN3 1171, HN3 4569
CN4 9382, LN4 4954, HN4 7342

CN0 471, LN0 5043, HN0 8431
CN1 3254, LN1 8826, HN1 1214
CN2 6037, LN2 1609, HN2 4097
CN3 9810, LN3 4482, HN3 7870
CN4 2693, LN4 7265, HN4 653

CN0 5236, LN0 808, HN0 3296
CN1 8019, LN1 3681, HN1 6079
CN2 1892, LN2 6464, HN2 9852
CN3 4675, LN3 9247, HN3 2635
CN4 7458, LN4 2020, HN4 5418

CN0 4532, LN0 9104, HN0 2592
CN1 7315, LN1 2987, HN1 5375
CN2 198, LN2 5760, HN2 8158
CN3 3971, LN3 8543, HN3 1931
CN4 6754, LN4 1326, HN4 4714

CN0 6037, LN0 1609, HN0 4097
CN1 9810, LN1 4482, HN1 7870
CN2 2693, LN2 7265, HN2 653
CN3 5476, LN3 48, HN3 3436
CN4 8259, LN4 3821, HN4 6219

CN0 1740, LN0 6312, HN0 9700
CN1 4523, LN1 9195, HN1 2583
CN2 7306, LN2 2978, HN2 5366
CN3 189, LN3 5751, HN3 8149
CN4 3962, LN4 8534, HN4 1922

CN0 4325, LN0 9997, HN0 2385
CN1 7108, LN1 2770, HN1 5168
CN2 981, LN2 5553, HN2 8941
CN3 3764, LN3 8336, HN3 1724
CN4 6547, LN4 1119, HN4 4507

CN0 5360, LN0 932, HN0 3320
CN1 8143, LN1 3715, HN1 6103
CN2 1926, LN2 6598, HN2 9986
CN3 4709, LN3 9371, HN3 2769
CN4 7582, LN4 2154, HN4 5542

CN0 4251, LN0 9823, HN0 2211
CN1 7034, LN1 2606, HN1 5094
CN2 817, LN2 5489, HN2 8877
CN3 3690, LN3 8262, HN3 1650
CN4 6473, LN4 1045, HN4 4433

CN0 2435, LN0 7007, HN0 495
CN1 5218, LN1 880, HN1 3278
CN2 8091, LN2 3663, HN2 6051
CN3 1874, LN3 6446, HN3 9834
CN4 4657, LN4 9229, HN4 2617

CN0 2354, LN0 7926, HN0 314
CN1 5137, LN1 709, HN1 3197
CN2 8910, LN2 3582, HN2 6970
CN3 1793, LN3 6365, HN3 9753
CN4 4576, LN4 9148, HN4 2536

CN0 3245, LN0 8817, HN0 1205
CN1 6028, LN1 1690, HN1 4088
CN2 9801, LN2 4473, HN2 7861
CN3 2684, LN3 7256, HN3 644
CN4 5467, LN4 39, HN4 3427

CN0 2417, LN0 7089, HN0 477
CN1 5290, LN1 862, HN1 3250
CN2 8073, LN2 3645, HN2 6033
CN3 1856, LN3 6428, HN3 9816
CN4 4639, LN4 9201, HN4 2699

CN0 2451, LN0 7023, HN0 411
CN1 5234, LN1 806, HN1 3294
CN2 8017, LN2 3689, HN2 6077
CN3 1890, LN3 6462, HN3 9850
CN4 4673, LN4 9245, HN4 2633

CN0 2536, LN0 7108, HN0 596
CN1 5319, LN1 981, HN1 3379
CN2 8192, LN2 3764, HN2 6152
CN3 1975, LN3 6547, HN3 9935
CN4 4758, LN4 9320, HN4 2718

CN0 5234, LN0 806, HN0 3294
CN1 8017, LN1 3689, HN1 6077
CN2 1890, LN2 6462, HN2 9850
CN3 4673, LN3 9245, HN3 2633
CN4 7456, LN4 2028, HN4 5416

CN0 6253, LN0 1825, HN0 4213
CN1 9036, LN1 4608, HN1 7096
CN2 2819, LN2 7481, HN2 879
CN3 5692, LN3 264, HN3 3652
CN4 8475, LN4 3047, HN4 6435

CN0 4307, LN0 9979, HN0 2367
CN1 7180, LN1 2752, HN1 5140
CN2 963, LN2 5535, HN2 8923
CN3 3746, LN3 8318, HN3 1706
CN4 6529, LN4 1191, HN4 4589

CN0 743, LN0 5315, HN0 8703
CN1 3526, LN1 8198, HN1 1586
CN2 6309, LN2 1971, HN2 4369
CN3 9182, LN3 4754, HN3 7142
CN4 2965, LN4 7537, HN4 925

CN0 6352, LN0 1924, HN0 4312
CN1 9135, LN1 4707, HN1 7195
CN2 2918, LN2 7580, HN2 978
CN3 5791, LN3 363, HN3 3751
CN4 8574, LN4 3146, HN4 6534

CN0 2543, LN0 7115, HN0 503
CN1 5326, LN1 998, HN1 3386
CN2 8109, LN2 3771, HN2 6169
CN3 1982, LN3 6554, HN3 9942
CN4 4765, LN4 9337, HN4 2725

CN0 264, LN0 5836, HN0 8224
CN1 3047, LN1 8619, HN1 1007
CN2 6820, LN2 1492, HN2 4880
CN3 9603, LN3 4275, HN3 7663
CN4 2486, LN4 7058, HN4 446

CN0 3524, LN0 8196, HN0 1584
CN1 6307, LN1 1979, HN1 4367
CN2 9180, LN2 4752, HN2 7140
CN3 2963, LN3 7535, HN3 923
CN4 5746, LN4 318, HN4 3706

CN0 6521, LN0 1193, HN0 4581
CN1 9304, LN1 4976, HN1 7364
CN2 2187, LN2 7759, HN2 147
CN3 5960, LN3 532, HN3 3920
CN4 8743, LN4 3315, HN4 6703

CN0 3407, LN0 8079, HN0 1467
CN1 6280, LN1 1852, HN1 4240
CN2 9063, LN2 4635, HN2 7023
CN3 2846, LN3 7418, HN3 806
CN4 5629, LN4 291, HN4 3689

CN0 1254, LN0 6826, HN0 9214
CN1 4037, LN1 9609, HN1 2097
CN2 7810, LN2 2482, HN2 5870
CN3 693, LN3 5265, HN3 8653
CN4 3476, LN4 8048, HN4 1436

CN0 617, LN0 5289, HN0 8677
CN1 3490, LN1 8062, HN1 1450
CN2 6273, LN2 1845, HN2 4233
CN3 9056, LN3 4628, HN3 7016
CN4 2839, LN4 7401, HN4 899

CN0 3047, LN0 8619, HN0 1007
CN1 6820, LN1 1492, HN1 4880
CN2 9603, LN2 4275, HN2 7663
CN3 2486, LN3 7058, HN3 446
CN4 5269, LN4 831, HN4 3229

CN0 3256, LN0 8828, HN0 1216
CN1 6039, LN1 1601, HN1 4099
CN2 9812, LN2 4484, HN2 7872
CN3 2695, LN3 7267, HN3 655
CN4 5478, LN4 40, HN4 3438

CN0 374, LN0 5946, HN0 8334
CN1 3157, LN1 8729, HN1 1117
CN2 6930, LN2 1502, HN2 4990
CN3 9713, LN3 4385, HN3 7773
CN4 2596, LN4 7168, HN4 556

CN0 473, LN0 5045, HN0 8433
CN1 3256, LN1 8828, HN1 1216
CN2 6039, LN2 1601, HN2 4099
CN3 9812, LN3 4484, HN3 7872
CN4 2695, LN4 7267, HN4 655

CN0 3526, LN0 8198, HN0 1586
CN1 6309, LN1 1971, HN1 4369
CN2 9182, LN2 4754, HN2 7142
CN3 2965, LN3 7537, HN3 925
CN4 5748, LN4 310, HN4 3708

CN0 6235, LN0 1807, HN0 4295
CN1 9018, LN1 4680, HN1 7078
CN2 2891, LN2 7463, HN2 851
CN3 5674, LN3 246, HN3 3634
CN4 8457, LN4 3029, HN4 6417

CN0 2147, LN0 7719, HN0 107
CN1 5920, LN1 592, HN1 3980
CN2 8703, LN2 3375, HN2 6763
CN3 1586, LN3 6158, HN3 9546
CN4 4369, LN4 9931, HN4 2329

CN0 2057, LN0 7629, HN0 17
CN1 5830, LN1 402, HN1 3890
CN2 8613, LN2 3285, HN2 6673
CN3 1496, LN3 6068, HN3 9456
CN4 4279, LN4 9841, HN4 2239

CN0 5342, LN0 914, HN0 3302
CN1 8125, LN1 3797, HN1 6185
CN2 1908, LN2 6570, HN2 9968
CN3 4781, LN3 9353, HN3 2741
CN4 7564, LN4 2136, HN4 5524

CN0 7401, LN0 2073, HN0 5461
CN1 284, LN1 5856, HN1 8244
CN2 3067, LN2 8639, HN2 1027
CN3 6840, LN3 1412, HN3 4800
CN4 9623, LN4 4295, HN4 7683

CN0 5720, LN0 392, HN0 3780
CN1 8503, LN1 3175, HN1 6563
CN2 1386, LN2 6958, HN2 9346
CN3 4169, LN3 9731, HN3 2129
CN4 7942, LN4 2514, HN4 5902

CN0 4521, LN0 9193, HN0 2581
CN1 7304, LN1 2976, HN1 5364
CN2 187, LN2 5759, HN2 8147
CN3 3960, LN3 8532, HN3 1920
CN4 6743, LN4 1315, HN4 4703

CN0 7610, LN0 2282, HN0 5670
CN1 493, LN1 5065, HN1 8453
CN2 3276, LN2 8848, HN2 1236
CN3 6059, LN3 1621, HN3 4019
CN4 9832, LN4 4404, HN4 7892

CN0 2640, LN0 7212, HN0 600
CN1 5423, LN1 95, HN1 3483
CN2 8206, LN2 3878, HN2 6266
CN3 1089, LN3 6651, HN3 9049
CN4 4862, LN4 9434, HN4 2822

CN0 1245, LN0 6817, HN0 9205
CN1 4028, LN1 9690, HN1 2088
CN2 7801, LN2 2473, HN2 5861
CN3 684, LN3 5256, HN3 8644
CN4 3467, LN4 8039, HN4 1427

CN0 1436, LN0 6008, HN0 9496
CN1 4219, LN1 9881, HN1 2279
CN2 7092, LN2 2664, HN2 5052
CN3 875, LN3 5447, HN3 8835
CN4 3658, LN4 8220, HN4 1618

CN0 275, LN0 5847, HN0 8235
CN1 3058, LN1 8620, HN1 1018
CN2 6831, LN2 1403, HN2 4891
CN3 9614, LN3 4286, HN3 7674
CN4 2497, LN4 7069, HN4 457

CN0 7315, LN0 2987, HN0 5375
CN1 198, LN1 5760, HN1 8158
CN2 3971, LN2 8543, HN2 1931
CN3 6754, LN3 1326, HN3 4714
CN4 9537, LN4 4109, HN4 7597

CN0 7306, LN0 2978, HN0 5366
CN1 189, LN1 5751, HN1 8149
CN2 3962, LN2 8534, HN2 1922
CN3 6745, LN3 1317, HN3 4705
CN4 9528, LN4 4190, HN4 7588

CN0 3254, LN0 8826, HN0 1214
CN1 6037, LN1 1609, HN1 4097
CN2 9810, LN2 4482, HN2 7870
CN3 2693, LN3 7265, HN3 653
CN4 5476, LN4 48, HN4 3436

CN0 1526, LN0 6198, HN0 9586
CN1 4309, LN1 9971, HN1 2369
CN2 7182, LN2 2754, HN2 5142
CN3 965, LN3 5537, HN3 8925
CN4 3748, LN4 8310, HN4 1708

CN0 7412, LN0 2084, HN0 5472
CN1 295, LN1 5867, HN1 8255
CN2 3078, LN2 8640, HN2 1038
CN3 6851, LN3 1423, HN3 4811
CN4 9634, LN4 4206, HN4 7694

CN0 1047, LN0 6619, HN0 9007
CN1 4820, LN1 9492, HN1 2880
CN2 7603, LN2 2275, HN2 5663
CN3 486, LN3 5058, HN3 8446
CN4 3269, LN4 8831, HN4 1229

CN0 3157, LN0 8729, HN0 1117
CN1 6930, LN1 1502, HN1 4990
CN2 9713, LN2 4385, HN2 7773
CN3 2596, LN3 7168, HN3 556
CN4 5379, LN4 941, HN4 3339

CN0 4620, LN0 9292, HN0 2680
CN1 7403, LN1 2075, HN1 5463
CN2 286, LN2 5858, HN2 8246
CN3 3069, LN3 8631, HN3 1029
CN4 6842, LN4 1414, HN4 4802

CN0 642, LN0 5214, HN0 8602
CN1 3425, LN1 8097, HN1 1485
CN2 6208, LN2 1870, HN2 4268
CN3 9081, LN3 4653, HN3 7041
CN4 2864, LN4 7436, HN4 824
>>>>>>> 1c8ce1717abfaa29254ead02727852b1b094a5b6

